"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol","entrez"
"ENSG00000279457",29.9135794276176,0.179257083672691,0.324821565250144,0.551863246932652,0.581042050747029,0.686554777832896,NA,NA
"ENSG00000187634",183.229649921658,0.426457118403306,0.140265820376892,3.04034951107421,0.00236303749730998,0.00515718149494365,"SAMD11","148398"
"ENSG00000188976",1651.18807619944,-0.692720464846369,0.0548465415913944,-12.6301576133482,1.43989540156387e-36,1.76548905393081e-35,"NOC2L","26155"
"ENSG00000187961",209.637938486147,0.729755610585226,0.131859899969346,5.53432552849557,3.12428248077775e-08,1.13412993107641e-07,"KLHL17","339451"
"ENSG00000187583",47.2551232589398,0.0405765278756312,0.271892808601774,0.149237223611387,0.881366448669147,0.919030615571381,"PLEKHN1","84069"
"ENSG00000187642",11.9797501642461,0.542810491577361,0.521559849534146,1.04074439790984,0.297994191720984,0.403379309754077,"PERM1","84808"
"ENSG00000188290",108.922127976716,2.0570638345631,0.196905312993834,10.4469696794191,1.51281875407244e-25,1.30538189681028e-24,"HES4","57801"
"ENSG00000187608",350.71686801731,0.257383686481772,0.102726560033541,2.50552229528307,0.012227068940985,0.0237452288907942,"ISG15","9636"
"ENSG00000188157",9128.439421961,0.38990879202277,0.0467163395511419,8.34630443585856,7.04321148763134e-17,4.21962808555734e-16,"AGRN","375790"
"ENSG00000237330",0.158192358990472,0.785955208142751,4.0804728567969,0.192613757210411,0.847261469988086,NA,"RNF223","401934"
"ENSG00000131591",156.479083393338,0.196592348543654,0.145610917129246,1.35012094161289,0.176977192005122,0.261745093404063,"C1orf159","54991"
"ENSG00000186891",0.732334495547826,-0.31184303389228,2.29432959164862,-0.135919021847337,0.891885297764805,0.926394074174198,"TNFRSF18","8784"
"ENSG00000186827",0.774563363005392,1.72578824180931,2.027222329879,0.851306843049778,0.394598924610234,0.508934886751171,"TNFRSF4","7293"
"ENSG00000078808",4600.33028600984,0.386628861206269,0.0483324364781583,7.99936625129563,1.25061211584893e-15,7.08904667822366e-15,"SDF4","51150"
"ENSG00000176022",903.070312267806,0.425079342747301,0.0745779843229749,5.6997966170071,1.19950446644619e-08,4.50173079360427e-08,"B3GALT6","126792"
"ENSG00000184163",4.52322235705183,0.328034737205598,0.844006620099536,0.388663701674415,0.697524937134858,0.783293353056159,"C1QTNF12","388581"
"ENSG00000160087",1226.36024604796,0.430326257302023,0.063310939229494,6.79702848416363,1.06798988681032e-11,4.92954430059832e-11,"UBE2J2","118424"
"ENSG00000162572",31.7776688322821,0.81014593991712,0.320430204352818,2.52830703507928,0.0114614071029094,0.0223910681180646,"SCNN1D","6339"
"ENSG00000131584",1067.09073092054,0.582146204655294,0.0670714173686712,8.67949757875867,3.97520932176198e-18,2.52855567475736e-17,"ACAP3","116983"
"ENSG00000169972",227.376248317606,0.0839217292579019,0.121698882258046,0.689585045489218,0.4904551743709,0.602963660316844,"PUSL1","126789"
"ENSG00000127054",922.15171909075,-0.209496874766821,0.072787968967112,-2.87817997588968,0.00399976875647024,0.00843086269062619,"INTS11","54973"
"ENSG00000224051",299.70151191683,-0.216411081372191,0.108761452223984,-1.98977741605099,0.0466154602905452,0.0804283134818608,"CPTP","80772"
"ENSG00000169962",5.84091826930333,0.0582910464706814,0.735677202178209,0.0792345424026896,0.936846070086016,0.957107817893228,"TAS1R3","83756"
"ENSG00000107404",996.838159268406,-0.144513678508731,0.0649756414671916,-2.22412084352719,0.0261403148786253,0.0475302321459838,"DVL1","1855"
"ENSG00000162576",5438.1255159644,0.516215483131599,0.0418318418467584,12.3402523135998,5.49833078325369e-35,6.45178336652809e-34,"MXRA8","54587"
"ENSG00000175756",1068.65776669111,0.0974793333116703,0.0657020202953101,1.48365808042936,0.137899652570388,0.211001357930064,"AURKAIP1","54998"
"ENSG00000221978",1362.3522672541,0.48709328745454,0.0609097051687597,7.99697332477596,1.27514850259802e-15,7.22535126154923e-15,"CCNL2","81669"
"ENSG00000242485",665.629405355783,-0.11969771131302,0.0763055945682537,-1.56866232404432,0.116726641897787,0.181909405550342,"MRPL20","55052"
"ENSG00000235098",1.24671988581422,-0.0591200275867563,1.57049165078444,-0.0376442800935788,0.969971302515186,0.978804317457638,"ANKRD65","441869"
"ENSG00000179403",108.929842536121,0.165405859799459,0.17599276170981,0.939844674249688,0.347297239686082,0.458890686614083,"VWA1","64856"
"ENSG00000215915",0.543603841878244,0.784681074991809,2.42042057965419,0.324192035709726,0.745792651342108,0.820915389229181,"ATAD3C","219293"
"ENSG00000160072",423.792449298593,-0.791803457110142,0.0978592141321803,-8.09125092748689,5.90550517273792e-16,3.40380661852997e-15,"ATAD3B","83858"
"ENSG00000197785",708.708441641375,-0.664367837986057,0.0811918784372537,-8.18268835225299,2.77580386150461e-16,1.62276070253292e-15,"ATAD3A","55210"
"ENSG00000205090",40.4750829217052,0.49789432713164,0.293990305983405,1.69357396144805,0.0903462694529684,0.145188454824757,"TMEM240","339453"
"ENSG00000160075",1860.23851801681,0.0489569115056431,0.0522188415930537,0.937533465165101,0.348484217989488,0.459990070258214,"SSU72","29101"
"ENSG00000228594",176.877295844935,0.336425158973395,0.140976553209651,2.38639086652293,0.0170146565168343,0.0321448542167805,"FNDC10","643988"
"ENSG00000197530",749.024212554717,0.41946485946461,0.0731092057622756,5.73751082495078,9.60781407179297e-09,3.62426321448899e-08,"MIB2","142678"
"ENSG00000189409",2.55268355396294,-0.0385517087772018,1.09981214357724,-0.0350529942793764,0.972037483486969,0.980419410869898,"MMP23B","8510"
"ENSG00000248333",477.512838582641,0.0727145569938435,0.0874014035426834,0.831960975985157,0.405430971972821,0.520099234211577,"CDK11B","984"
"ENSG00000189339",1751.0672425259,0.877810539396575,0.0570548914995742,15.3853686568333,2.05204402307472e-53,3.80415406441197e-52,"SLC35E2B","728661"
"ENSG00000008128",12.8597280624561,0.403593300200672,0.503910006803861,0.800923368758908,0.42317601053015,0.538348557893254,"CDK11A","728642"
"ENSG00000215790",44.3703655663435,1.2688873516645,0.282260898446788,4.49544148214249,6.94257499390072e-06,2.04516630541892e-05,NA,NA
