"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000000003",747.194195359907,-0.35070302068658,0.168245681332527,-2.08446967499533,0.0371174658432796,0.163034808641668
"ENSG00000000005",0,NA,NA,NA,NA,NA
"ENSG00000000419",520.134160051965,0.206107766417861,0.101059218008061,2.03947517584611,0.0414026263001355,0.176031664879167
"ENSG00000000457",322.664843927049,0.0245269479387492,0.145145067649247,0.168982303952762,0.865810560623549,0.961694238404374
"ENSG00000000460",87.682625164828,-0.147142049222118,0.257007253994671,-0.572520996723183,0.566969065257944,0.815848587637725
"ENSG00000000938",0.319166568913118,-1.73228897394308,3.49360097648095,-0.495846258804286,0.620002884826012,NA
"ENSG00000000971",5760.14836162122,0.459281905807019,0.234311633845525,1.96013274402675,0.0499802769421374,0.200944465782518
"ENSG00000001036",2025.39179382894,-0.228243688351364,0.125005308318276,-1.82587196833459,0.0678695494953164,0.246790954887531
"ENSG00000001084",652.173308358757,-0.253030787429103,0.202576594239605,-1.24906230346543,0.211642286939169,0.495030491999029
"ENSG00000001167",411.684395281717,-0.53373339657376,0.228791461148912,-2.33283792102002,0.0196566535721804,0.105268747648752
"ENSG00000001460",201.336569053853,-0.123556348103779,0.161114727309941,-0.766884257986485,0.443150334000445,0.730583672002947
"ENSG00000001461",2918.77668675377,0.00210152395872282,0.288704344043011,0.00727915600192609,0.994192125099885,0.998014166808362
"ENSG00000001497",539.501702816792,-0.0573211492611311,0.109341581209845,-0.5242392567117,0.600112139778716,0.837621133648474
"ENSG00000001561",115.914401421895,0.286816638209834,0.715972980501579,0.400597014162327,0.688716844327051,0.88711729713283
"ENSG00000001617",604.297522477042,-0.19220280688442,0.198690550510317,-0.967347497859188,0.333370346699507,0.639074750802633
"ENSG00000001626",9.6724145714589,-0.286388065302528,0.586258600932595,-0.488501260104252,0.625194833386449,NA
"ENSG00000001629",1826.75812135437,-0.246091165637124,0.190393072929052,-1.29254264270858,0.196169288315458,0.474446482200193
"ENSG00000001630",979.608386428198,-0.179753249342181,0.121379855928639,-1.48091499999687,0.138629225359449,0.386406073067554
"ENSG00000001631",848.723819299268,-0.0712550209851326,0.15365280323414,-0.463740455659326,0.642833708757744,0.862101878963609
"ENSG00000002016",203.735815126675,-0.411582595769078,0.228455036442082,-1.80159125480003,0.0716097381879243,0.255785255862291
"ENSG00000002079",3.06484852801131,1.06112994552515,1.77213592723804,0.598785865810513,0.549315688867315,NA
"ENSG00000002330",688.667589034695,0.0103246419431311,0.0964225022818098,0.107077100249439,0.914727814058028,0.976989457490435
"ENSG00000002549",1229.98469317186,0.164300728725487,0.177395585311704,0.926182736942365,0.354351022345473,0.656729477666796
"ENSG00000002586",8367.26727634875,0.079289430876061,0.131640081100154,0.602319827011777,0.546961265485193,0.801490814631186
"ENSG00000002587",1.95953335698007,0.399056442749026,1.15881067603973,0.344367247385755,0.730570117047997,NA
"ENSG00000002726",1.53531673945229,0.804939605370371,1.8033625142283,0.446354850463786,0.655340940970784,NA
